コード,銘柄名,業種33,規模,候補
9241,フューチャーリンクネットワーク,サービス業,-,人材サービス・派遣 / コンサルティング・BPO / 広告・PR・マーケティング / 教育・研修・資格 / 医療・介護・福祉サービス / ホテル・旅行・レジャー / 環境・リサイクル・ビル管理 / エンタメ・スポーツ・その他サービス
9445,フォーバルテレコム,情報・通信業,-,通信キャリア・放送 / SI・受託開発(大手) / SI・受託開発(中堅) / ソフトウェア・SaaS / Webプラットフォーム・EC / ゲーム・デジタルコンテンツ / サイバーセキュリティ・クラウド / AI・データ・IoT / DX支援・ITコンサルティング / その他ITサービス
4177,ｉ‐ｐｌｕｇ,情報・通信業,-,通信キャリア・放送 / SI・受託開発(大手) / SI・受託開発(中堅) / ソフトウェア・SaaS / Webプラットフォーム・EC / ゲーム・デジタルコンテンツ / サイバーセキュリティ・クラウド / AI・データ・IoT / DX支援・ITコンサルティング / その他ITサービス
6834,精工技研,電気機器,-,半導体・半導体製造装置 / 電子部品・デバイス / 重電・産業用電機 / 民生電機・情報端末
6508,明電舎,電気機器,TOPIX Small 1,半導体・半導体製造装置 / 電子部品・デバイス / 重電・産業用電機 / 民生電機・情報端末
6721,ウインテスト,電気機器,-,半導体・半導体製造装置 / 電子部品・デバイス / 重電・産業用電機 / 民生電機・情報端末
4714,リソー教育グループ,サービス業,TOPIX Small 2,人材サービス・派遣 / コンサルティング・BPO / 広告・PR・マーケティング / 教育・研修・資格 / 医療・介護・福祉サービス / ホテル・旅行・レジャー / 環境・リサイクル・ビル管理 / エンタメ・スポーツ・その他サービス
3994,マネーフォワード,情報・通信業,TOPIX Mid400,通信キャリア・放送 / SI・受託開発(大手) / SI・受託開発(中堅) / ソフトウェア・SaaS / Webプラットフォーム・EC / ゲーム・デジタルコンテンツ / サイバーセキュリティ・クラウド / AI・データ・IoT / DX支援・ITコンサルティング / その他ITサービス
2664,カワチ薬品,小売業,TOPIX Small 1,百貨店・総合スーパー / 食品スーパー・コンビニ / ドラッグストア・HC / 衣料・家電・専門店 / 飲食チェーン・中食 / EC・通販・無店舗販売
3053,ペッパーフードサービス,小売業,TOPIX Small 2,百貨店・総合スーパー / 食品スーパー・コンビニ / ドラッグストア・HC / 衣料・家電・専門店 / 飲食チェーン・中食 / EC・通販・無店舗販売
6946,日本アビオニクス,電気機器,-,半導体・半導体製造装置 / 電子部品・デバイス / 重電・産業用電機 / 民生電機・情報端末
5537,ＡｌｂａＬｉｎｋ,不動産業,-,不動産開発・デベロッパー / 不動産管理・仲介・賃貸
290A,Ｓｙｎｓｐｅｃｔｉｖｅ,情報・通信業,-,通信キャリア・放送 / SI・受託開発(大手) / SI・受託開発(中堅) / ソフトウェア・SaaS / Webプラットフォーム・EC / ゲーム・デジタルコンテンツ / サイバーセキュリティ・クラウド / AI・データ・IoT / DX支援・ITコンサルティング / その他ITサービス
4461,第一工業製薬,化学,TOPIX Small 2,基礎化学・石油化学 / 機能性化学・先端材料 / 日用化学品・化粧品
269A,Ｓａｐｅｅｔ,情報・通信業,-,通信キャリア・放送 / SI・受託開発(大手) / SI・受託開発(中堅) / ソフトウェア・SaaS / Webプラットフォーム・EC / ゲーム・デジタルコンテンツ / サイバーセキュリティ・クラウド / AI・データ・IoT / DX支援・ITコンサルティング / その他ITサービス
1803,清水建設,建設業,TOPIX Mid400,ゼネコン・総合建設 / 設備工事・専門工事
7751,キヤノン,電気機器,TOPIX Large70,半導体・半導体製造装置 / 電子部品・デバイス / 重電・産業用電機 / 民生電機・情報端末
378A,ヒット,サービス業,-,人材サービス・派遣 / コンサルティング・BPO / 広告・PR・マーケティング / 教育・研修・資格 / 医療・介護・福祉サービス / ホテル・旅行・レジャー / 環境・リサイクル・ビル管理 / エンタメ・スポーツ・その他サービス
2175,エス・エム・エス,サービス業,TOPIX Small 1,人材サービス・派遣 / コンサルティング・BPO / 広告・PR・マーケティング / 教育・研修・資格 / 医療・介護・福祉サービス / ホテル・旅行・レジャー / 環境・リサイクル・ビル管理 / エンタメ・スポーツ・その他サービス
3803,イメージ情報開発,情報・通信業,-,通信キャリア・放送 / SI・受託開発(大手) / SI・受託開発(中堅) / ソフトウェア・SaaS / Webプラットフォーム・EC / ゲーム・デジタルコンテンツ / サイバーセキュリティ・クラウド / AI・データ・IoT / DX支援・ITコンサルティング / その他ITサービス
7453,良品計画,小売業,TOPIX Mid400,百貨店・総合スーパー / 食品スーパー・コンビニ / ドラッグストア・HC / 衣料・家電・専門店 / 飲食チェーン・中食 / EC・通販・無店舗販売
9025,鴻池運輸,陸運業,TOPIX Small 1,鉄道・バス・旅客運輸 / 貨物・物流・倉庫
8020,兼松,卸売業,TOPIX Mid400,総合商社・貿易 / 食品・農産物卸 / 機械・電子部品卸 / 建材・資材・エネルギー卸 / 医薬品卸・その他専門卸
4374,ＲＯＢＯＴ　ＰＡＹＭＥＮＴ,情報・通信業,-,通信キャリア・放送 / SI・受託開発(大手) / SI・受託開発(中堅) / ソフトウェア・SaaS / Webプラットフォーム・EC / ゲーム・デジタルコンテンツ / サイバーセキュリティ・クラウド / AI・データ・IoT / DX支援・ITコンサルティング / その他ITサービス
4611,大日本塗料,化学,TOPIX Small 2,基礎化学・石油化学 / 機能性化学・先端材料 / 日用化学品・化粧品
438A,インフキュリオン,情報・通信業,-,通信キャリア・放送 / SI・受託開発(大手) / SI・受託開発(中堅) / ソフトウェア・SaaS / Webプラットフォーム・EC / ゲーム・デジタルコンテンツ / サイバーセキュリティ・クラウド / AI・データ・IoT / DX支援・ITコンサルティング / その他ITサービス
277A,グロービング,サービス業,-,人材サービス・派遣 / コンサルティング・BPO / 広告・PR・マーケティング / 教育・研修・資格 / 医療・介護・福祉サービス / ホテル・旅行・レジャー / 環境・リサイクル・ビル管理 / エンタメ・スポーツ・その他サービス
3092,ＺＯＺＯ,小売業,TOPIX Mid400,百貨店・総合スーパー / 食品スーパー・コンビニ / ドラッグストア・HC / 衣料・家電・専門店 / 飲食チェーン・中食 / EC・通販・無店舗販売
4368,扶桑化学工業,化学,TOPIX Small 1,基礎化学・石油化学 / 機能性化学・先端材料 / 日用化学品・化粧品
3223,エスエルディー,小売業,-,百貨店・総合スーパー / 食品スーパー・コンビニ / ドラッグストア・HC / 衣料・家電・専門店 / 飲食チェーン・中食 / EC・通販・無店舗販売
3469,デュアルタップ,不動産業,-,不動産開発・デベロッパー / 不動産管理・仲介・賃貸
6227,ＡＩメカテック,機械,-,産業機械・工作機械 / 建設機械・農業機械 / 自動化・ロボティクス
2371,カカクコム,サービス業,TOPIX Mid400,人材サービス・派遣 / コンサルティング・BPO / 広告・PR・マーケティング / 教育・研修・資格 / 医療・介護・福祉サービス / ホテル・旅行・レジャー / 環境・リサイクル・ビル管理 / エンタメ・スポーツ・その他サービス
6838,多摩川ホールディングス,電気機器,-,半導体・半導体製造装置 / 電子部品・デバイス / 重電・産業用電機 / 民生電機・情報端末
5253,カバー,情報・通信業,-,通信キャリア・放送 / SI・受託開発(大手) / SI・受託開発(中堅) / ソフトウェア・SaaS / Webプラットフォーム・EC / ゲーム・デジタルコンテンツ / サイバーセキュリティ・クラウド / AI・データ・IoT / DX支援・ITコンサルティング / その他ITサービス
4438,Ｗｅｌｂｙ,情報・通信業,-,通信キャリア・放送 / SI・受託開発(大手) / SI・受託開発(中堅) / ソフトウェア・SaaS / Webプラットフォーム・EC / ゲーム・デジタルコンテンツ / サイバーセキュリティ・クラウド / AI・データ・IoT / DX支援・ITコンサルティング / その他ITサービス
3048,ビックカメラ,小売業,TOPIX Mid400,百貨店・総合スーパー / 食品スーパー・コンビニ / ドラッグストア・HC / 衣料・家電・専門店 / 飲食チェーン・中食 / EC・通販・無店舗販売
246A,アスア,サービス業,-,人材サービス・派遣 / コンサルティング・BPO / 広告・PR・マーケティング / 教育・研修・資格 / 医療・介護・福祉サービス / ホテル・旅行・レジャー / 環境・リサイクル・ビル管理 / エンタメ・スポーツ・その他サービス
247A,Ａｉロボティクス,化学,-,基礎化学・石油化学 / 機能性化学・先端材料 / 日用化学品・化粧品
6890,フェローテック,電気機器,-,半導体・半導体製造装置 / 電子部品・デバイス / 重電・産業用電機 / 民生電機・情報端末
456A,ＨＵＭＡＮ　ＭＡＤＥ,小売業,-,百貨店・総合スーパー / 食品スーパー・コンビニ / ドラッグストア・HC / 衣料・家電・専門店 / 飲食チェーン・中食 / EC・通販・無店舗販売
5591,ＡＶＩＬＥＮ,情報・通信業,-,通信キャリア・放送 / SI・受託開発(大手) / SI・受託開発(中堅) / ソフトウェア・SaaS / Webプラットフォーム・EC / ゲーム・デジタルコンテンツ / サイバーセキュリティ・クラウド / AI・データ・IoT / DX支援・ITコンサルティング / その他ITサービス
2938,オカムラ食品工業,食料品,-,食品製造・飲料・酒類 / 調味料・菓子・冷凍食品
4475,ＨＥＮＮＧＥ,情報・通信業,-,通信キャリア・放送 / SI・受託開発(大手) / SI・受託開発(中堅) / ソフトウェア・SaaS / Webプラットフォーム・EC / ゲーム・デジタルコンテンツ / サイバーセキュリティ・クラウド / AI・データ・IoT / DX支援・ITコンサルティング / その他ITサービス
7810,クロスフォー,その他製品,-,住宅設備・家具・生活用品 / 玩具・スポーツ・文具・雑貨
2158,ＦＲＯＮＴＥＯ,サービス業,-,人材サービス・派遣 / コンサルティング・BPO / 広告・PR・マーケティング / 教育・研修・資格 / 医療・介護・福祉サービス / ホテル・旅行・レジャー / 環境・リサイクル・ビル管理 / エンタメ・スポーツ・その他サービス
6981,村田製作所,電気機器,TOPIX Large70,半導体・半導体製造装置 / 電子部品・デバイス / 重電・産業用電機 / 民生電機・情報端末
6361,荏原製作所,機械,TOPIX Mid400,産業機械・工作機械 / 建設機械・農業機械 / 自動化・ロボティクス
3815,メディア工房,情報・通信業,-,通信キャリア・放送 / SI・受託開発(大手) / SI・受託開発(中堅) / ソフトウェア・SaaS / Webプラットフォーム・EC / ゲーム・デジタルコンテンツ / サイバーセキュリティ・クラウド / AI・データ・IoT / DX支援・ITコンサルティング / その他ITサービス
184A,学びエイド,情報・通信業,-,通信キャリア・放送 / SI・受託開発(大手) / SI・受託開発(中堅) / ソフトウェア・SaaS / Webプラットフォーム・EC / ゲーム・デジタルコンテンツ / サイバーセキュリティ・クラウド / AI・データ・IoT / DX支援・ITコンサルティング / その他ITサービス
9708,帝国ホテル,サービス業,-,人材サービス・派遣 / コンサルティング・BPO / 広告・PR・マーケティング / 教育・研修・資格 / 医療・介護・福祉サービス / ホテル・旅行・レジャー / 環境・リサイクル・ビル管理 / エンタメ・スポーツ・その他サービス
8136,サンリオ,卸売業,TOPIX Mid400,総合商社・貿易 / 食品・農産物卸 / 機械・電子部品卸 / 建材・資材・エネルギー卸 / 医薬品卸・その他専門卸
3224,ゼネラル・オイスター,小売業,-,百貨店・総合スーパー / 食品スーパー・コンビニ / ドラッグストア・HC / 衣料・家電・専門店 / 飲食チェーン・中食 / EC・通販・無店舗販売
4176,ココナラ,情報・通信業,-,通信キャリア・放送 / SI・受託開発(大手) / SI・受託開発(中堅) / ソフトウェア・SaaS / Webプラットフォーム・EC / ゲーム・デジタルコンテンツ / サイバーセキュリティ・クラウド / AI・データ・IoT / DX支援・ITコンサルティング / その他ITサービス
5137,スマートドライブ,情報・通信業,-,通信キャリア・放送 / SI・受託開発(大手) / SI・受託開発(中堅) / ソフトウェア・SaaS / Webプラットフォーム・EC / ゲーム・デジタルコンテンツ / サイバーセキュリティ・クラウド / AI・データ・IoT / DX支援・ITコンサルティング / その他ITサービス
6327,北川精機,機械,-,産業機械・工作機械 / 建設機械・農業機械 / 自動化・ロボティクス
5243,ｎｏｔｅ,情報・通信業,-,通信キャリア・放送 / SI・受託開発(大手) / SI・受託開発(中堅) / ソフトウェア・SaaS / Webプラットフォーム・EC / ゲーム・デジタルコンテンツ / サイバーセキュリティ・クラウド / AI・データ・IoT / DX支援・ITコンサルティング / その他ITサービス
3777,環境フレンドリーホールディングス,情報・通信業,-,通信キャリア・放送 / SI・受託開発(大手) / SI・受託開発(中堅) / ソフトウェア・SaaS / Webプラットフォーム・EC / ゲーム・デジタルコンテンツ / サイバーセキュリティ・クラウド / AI・データ・IoT / DX支援・ITコンサルティング / その他ITサービス
3064,ＭｏｎｏｔａＲＯ,小売業,TOPIX Mid400,百貨店・総合スーパー / 食品スーパー・コンビニ / ドラッグストア・HC / 衣料・家電・専門店 / 飲食チェーン・中食 / EC・通販・無店舗販売
2134,北浜キャピタルパートナーズ,サービス業,-,人材サービス・派遣 / コンサルティング・BPO / 広告・PR・マーケティング / 教育・研修・資格 / 医療・介護・福祉サービス / ホテル・旅行・レジャー / 環境・リサイクル・ビル管理 / エンタメ・スポーツ・その他サービス
9337,トリドリ,サービス業,-,人材サービス・派遣 / コンサルティング・BPO / 広告・PR・マーケティング / 教育・研修・資格 / 医療・介護・福祉サービス / ホテル・旅行・レジャー / 環境・リサイクル・ビル管理 / エンタメ・スポーツ・その他サービス
4704,トレンドマイクロ,情報・通信業,TOPIX Mid400,通信キャリア・放送 / SI・受託開発(大手) / SI・受託開発(中堅) / ソフトウェア・SaaS / Webプラットフォーム・EC / ゲーム・デジタルコンテンツ / サイバーセキュリティ・クラウド / AI・データ・IoT / DX支援・ITコンサルティング / その他ITサービス
142A,ジンジブ,サービス業,-,人材サービス・派遣 / コンサルティング・BPO / 広告・PR・マーケティング / 教育・研修・資格 / 医療・介護・福祉サービス / ホテル・旅行・レジャー / 環境・リサイクル・ビル管理 / エンタメ・スポーツ・その他サービス
7827,オービス,その他製品,-,住宅設備・家具・生活用品 / 玩具・スポーツ・文具・雑貨
5246,ＥＬＥＭＥＮＴＳ,情報・通信業,-,通信キャリア・放送 / SI・受託開発(大手) / SI・受託開発(中堅) / ソフトウェア・SaaS / Webプラットフォーム・EC / ゲーム・デジタルコンテンツ / サイバーセキュリティ・クラウド / AI・データ・IoT / DX支援・ITコンサルティング / その他ITサービス
6656,インスペック,電気機器,-,半導体・半導体製造装置 / 電子部品・デバイス / 重電・産業用電機 / 民生電機・情報端末
2345,ＨＯＤＬ１,情報・通信業,-,通信キャリア・放送 / SI・受託開発(大手) / SI・受託開発(中堅) / ソフトウェア・SaaS / Webプラットフォーム・EC / ゲーム・デジタルコンテンツ / サイバーセキュリティ・クラウド / AI・データ・IoT / DX支援・ITコンサルティング / その他ITサービス
6036,ＫｅｅＰｅｒ技研,サービス業,TOPIX Small 1,人材サービス・派遣 / コンサルティング・BPO / 広告・PR・マーケティング / 教育・研修・資格 / 医療・介護・福祉サービス / ホテル・旅行・レジャー / 環境・リサイクル・ビル管理 / エンタメ・スポーツ・その他サービス
3565,アセンテック,卸売業,TOPIX Small 2,総合商社・貿易 / 食品・農産物卸 / 機械・電子部品卸 / 建材・資材・エネルギー卸 / 医薬品卸・その他専門卸
554A,バトンズ,情報・通信業,-,通信キャリア・放送 / SI・受託開発(大手) / SI・受託開発(中堅) / ソフトウェア・SaaS / Webプラットフォーム・EC / ゲーム・デジタルコンテンツ / サイバーセキュリティ・クラウド / AI・データ・IoT / DX支援・ITコンサルティング / その他ITサービス
6479,ミネベアミツミ,電気機器,TOPIX Mid400,半導体・半導体製造装置 / 電子部品・デバイス / 重電・産業用電機 / 民生電機・情報端末
8850,スターツコーポレーション,不動産業,TOPIX Small 1,不動産開発・デベロッパー / 不動産管理・仲介・賃貸
3166,ＯＣＨＩホールディングス,卸売業,-,総合商社・貿易 / 食品・農産物卸 / 機械・電子部品卸 / 建材・資材・エネルギー卸 / 医薬品卸・その他専門卸
4463,日華化学,化学,-,基礎化学・石油化学 / 機能性化学・先端材料 / 日用化学品・化粧品
5578,ＡＲアドバンストテクノロジ,情報・通信業,-,通信キャリア・放送 / SI・受託開発(大手) / SI・受託開発(中堅) / ソフトウェア・SaaS / Webプラットフォーム・EC / ゲーム・デジタルコンテンツ / サイバーセキュリティ・クラウド / AI・データ・IoT / DX支援・ITコンサルティング / その他ITサービス
5258,トランザクション・メディア・ネットワークス,情報・通信業,-,通信キャリア・放送 / SI・受託開発(大手) / SI・受託開発(中堅) / ソフトウェア・SaaS / Webプラットフォーム・EC / ゲーム・デジタルコンテンツ / サイバーセキュリティ・クラウド / AI・データ・IoT / DX支援・ITコンサルティング / その他ITサービス
2216,カンロ,食料品,-,食品製造・飲料・酒類 / 調味料・菓子・冷凍食品
4762,エックスネット,情報・通信業,-,通信キャリア・放送 / SI・受託開発(大手) / SI・受託開発(中堅) / ソフトウェア・SaaS / Webプラットフォーム・EC / ゲーム・デジタルコンテンツ / サイバーセキュリティ・クラウド / AI・データ・IoT / DX支援・ITコンサルティング / その他ITサービス
4452,花王,化学,TOPIX Large70,基礎化学・石油化学 / 機能性化学・先端材料 / 日用化学品・化粧品
4718,早稲田アカデミー,サービス業,TOPIX Small 2,人材サービス・派遣 / コンサルティング・BPO / 広告・PR・マーケティング / 教育・研修・資格 / 医療・介護・福祉サービス / ホテル・旅行・レジャー / 環境・リサイクル・ビル管理 / エンタメ・スポーツ・その他サービス
4833,Ｄｅｆ　ｃｏｎｓｕｌｔｉｎｇ,サービス業,-,人材サービス・派遣 / コンサルティング・BPO / 広告・PR・マーケティング / 教育・研修・資格 / 医療・介護・福祉サービス / ホテル・旅行・レジャー / 環境・リサイクル・ビル管理 / エンタメ・スポーツ・その他サービス
9950,ハチバン,小売業,-,百貨店・総合スーパー / 食品スーパー・コンビニ / ドラッグストア・HC / 衣料・家電・専門店 / 飲食チェーン・中食 / EC・通販・無店舗販売
4819,デジタルガレージ,情報・通信業,TOPIX Small 1,通信キャリア・放送 / SI・受託開発(大手) / SI・受託開発(中堅) / ソフトウェア・SaaS / Webプラットフォーム・EC / ゲーム・デジタルコンテンツ / サイバーセキュリティ・クラウド / AI・データ・IoT / DX支援・ITコンサルティング / その他ITサービス
6969,松尾電機,電気機器,-,半導体・半導体製造装置 / 電子部品・デバイス / 重電・産業用電機 / 民生電機・情報端末
3185,夢展望,小売業,-,百貨店・総合スーパー / 食品スーパー・コンビニ / ドラッグストア・HC / 衣料・家電・専門店 / 飲食チェーン・中食 / EC・通販・無店舗販売
7643,ダイイチ,小売業,-,百貨店・総合スーパー / 食品スーパー・コンビニ / ドラッグストア・HC / 衣料・家電・専門店 / 飲食チェーン・中食 / EC・通販・無店舗販売
7352,ＴＷＯＳＴＯＮＥ＆Ｓｏｎｓ,サービス業,-,人材サービス・派遣 / コンサルティング・BPO / 広告・PR・マーケティング / 教育・研修・資格 / 医療・介護・福祉サービス / ホテル・旅行・レジャー / 環境・リサイクル・ビル管理 / エンタメ・スポーツ・その他サービス
212A,フィットイージー,サービス業,TOPIX Small 2,人材サービス・派遣 / コンサルティング・BPO / 広告・PR・マーケティング / 教育・研修・資格 / 医療・介護・福祉サービス / ホテル・旅行・レジャー / 環境・リサイクル・ビル管理 / エンタメ・スポーツ・その他サービス
3358,Ｔｒａｉｌｈｅａｄ　Ｇｌｏｂａｌ　Ｈｏｌｄｉｎｇｓ,小売業,-,百貨店・総合スーパー / 食品スーパー・コンビニ / ドラッグストア・HC / 衣料・家電・専門店 / 飲食チェーン・中食 / EC・通販・無店舗販売
8035,東京エレクトロン,電気機器,TOPIX Core30,半導体・半導体製造装置 / 電子部品・デバイス / 重電・産業用電機 / 民生電機・情報端末
4487,スペースマーケット,情報・通信業,-,通信キャリア・放送 / SI・受託開発(大手) / SI・受託開発(中堅) / ソフトウェア・SaaS / Webプラットフォーム・EC / ゲーム・デジタルコンテンツ / サイバーセキュリティ・クラウド / AI・データ・IoT / DX支援・ITコンサルティング / その他ITサービス
4390,ＩＰＳ,情報・通信業,TOPIX Small 2,通信キャリア・放送 / SI・受託開発(大手) / SI・受託開発(中堅) / ソフトウェア・SaaS / Webプラットフォーム・EC / ゲーム・デジタルコンテンツ / サイバーセキュリティ・クラウド / AI・データ・IoT / DX支援・ITコンサルティング / その他ITサービス
9215,ＣａＳｙ,サービス業,-,人材サービス・派遣 / コンサルティング・BPO / 広告・PR・マーケティング / 教育・研修・資格 / 医療・介護・福祉サービス / ホテル・旅行・レジャー / 環境・リサイクル・ビル管理 / エンタメ・スポーツ・その他サービス
9983,ファーストリテイリング,小売業,TOPIX Core30,百貨店・総合スーパー / 食品スーパー・コンビニ / ドラッグストア・HC / 衣料・家電・専門店 / 飲食チェーン・中食 / EC・通販・無店舗販売
7752,リコー,電気機器,TOPIX Mid400,半導体・半導体製造装置 / 電子部品・デバイス / 重電・産業用電機 / 民生電機・情報端末
6777,ｓａｎｔｅｃ　Ｈｏｌｄｉｎｇｓ,電気機器,-,半導体・半導体製造装置 / 電子部品・デバイス / 重電・産業用電機 / 民生電機・情報端末
7992,セーラー万年筆,その他製品,-,住宅設備・家具・生活用品 / 玩具・スポーツ・文具・雑貨
341A,トヨコー,建設業,-,ゼネコン・総合建設 / 設備工事・専門工事
6920,レーザーテック,電気機器,TOPIX Large70,半導体・半導体製造装置 / 電子部品・デバイス / 重電・産業用電機 / 民生電機・情報端末
3691,デジタルプラス,情報・通信業,-,通信キャリア・放送 / SI・受託開発(大手) / SI・受託開発(中堅) / ソフトウェア・SaaS / Webプラットフォーム・EC / ゲーム・デジタルコンテンツ / サイバーセキュリティ・クラウド / AI・データ・IoT / DX支援・ITコンサルティング / その他ITサービス
3135,マーケットエンタープライズ,小売業,-,百貨店・総合スーパー / 食品スーパー・コンビニ / ドラッグストア・HC / 衣料・家電・専門店 / 飲食チェーン・中食 / EC・通販・無店舗販売
2590,ダイドーグループホールディングス,食料品,TOPIX Small 1,食品製造・飲料・酒類 / 調味料・菓子・冷凍食品
4449,ギフティ,情報・通信業,TOPIX Small 2,通信キャリア・放送 / SI・受託開発(大手) / SI・受託開発(中堅) / ソフトウェア・SaaS / Webプラットフォーム・EC / ゲーム・デジタルコンテンツ / サイバーセキュリティ・クラウド / AI・データ・IoT / DX支援・ITコンサルティング / その他ITサービス
4716,日本オラクル,情報・通信業,TOPIX Mid400,通信キャリア・放送 / SI・受託開発(大手) / SI・受託開発(中堅) / ソフトウェア・SaaS / Webプラットフォーム・EC / ゲーム・デジタルコンテンツ / サイバーセキュリティ・クラウド / AI・データ・IoT / DX支援・ITコンサルティング / その他ITサービス
5587,インバウンドプラットフォーム,情報・通信業,-,通信キャリア・放送 / SI・受託開発(大手) / SI・受託開発(中堅) / ソフトウェア・SaaS / Webプラットフォーム・EC / ゲーム・デジタルコンテンツ / サイバーセキュリティ・クラウド / AI・データ・IoT / DX支援・ITコンサルティング / その他ITサービス
6433,ヒーハイスト,機械,-,産業機械・工作機械 / 建設機械・農業機械 / 自動化・ロボティクス
7621,うかい,小売業,-,百貨店・総合スーパー / 食品スーパー・コンビニ / ドラッグストア・HC / 衣料・家電・専門店 / 飲食チェーン・中食 / EC・通販・無店舗販売
3561,力の源ホールディングス,小売業,TOPIX Small 2,百貨店・総合スーパー / 食品スーパー・コンビニ / ドラッグストア・HC / 衣料・家電・専門店 / 飲食チェーン・中食 / EC・通販・無店舗販売
9639,三協フロンテア,サービス業,-,人材サービス・派遣 / コンサルティング・BPO / 広告・PR・マーケティング / 教育・研修・資格 / 医療・介護・福祉サービス / ホテル・旅行・レジャー / 環境・リサイクル・ビル管理 / エンタメ・スポーツ・その他サービス
3663,セルシス,情報・通信業,TOPIX Small 2,通信キャリア・放送 / SI・受託開発(大手) / SI・受託開発(中堅) / ソフトウェア・SaaS / Webプラットフォーム・EC / ゲーム・デジタルコンテンツ / サイバーセキュリティ・クラウド / AI・データ・IoT / DX支援・ITコンサルティング / その他ITサービス
6971,京セラ,電気機器,TOPIX Large70,半導体・半導体製造装置 / 電子部品・デバイス / 重電・産業用電機 / 民生電機・情報端末
7678,あさくま,小売業,-,百貨店・総合スーパー / 食品スーパー・コンビニ / ドラッグストア・HC / 衣料・家電・専門店 / 飲食チェーン・中食 / EC・通販・無店舗販売
3671,ソフトマックス,情報・通信業,-,通信キャリア・放送 / SI・受託開発(大手) / SI・受託開発(中堅) / ソフトウェア・SaaS / Webプラットフォーム・EC / ゲーム・デジタルコンテンツ / サイバーセキュリティ・クラウド / AI・データ・IoT / DX支援・ITコンサルティング / その他ITサービス
2492,インフォマート,サービス業,TOPIX Small 1,人材サービス・派遣 / コンサルティング・BPO / 広告・PR・マーケティング / 教育・研修・資格 / 医療・介護・福祉サービス / ホテル・旅行・レジャー / 環境・リサイクル・ビル管理 / エンタメ・スポーツ・その他サービス
6558,クックビズ,サービス業,-,人材サービス・派遣 / コンサルティング・BPO / 広告・PR・マーケティング / 教育・研修・資格 / 医療・介護・福祉サービス / ホテル・旅行・レジャー / 環境・リサイクル・ビル管理 / エンタメ・スポーツ・その他サービス
3692,ＦＦＲＩセキュリティ,情報・通信業,-,通信キャリア・放送 / SI・受託開発(大手) / SI・受託開発(中堅) / ソフトウェア・SaaS / Webプラットフォーム・EC / ゲーム・デジタルコンテンツ / サイバーセキュリティ・クラウド / AI・データ・IoT / DX支援・ITコンサルティング / その他ITサービス
6613,ＱＤレーザ,電気機器,-,半導体・半導体製造装置 / 電子部品・デバイス / 重電・産業用電機 / 民生電機・情報端末
9245,リベロ,サービス業,-,人材サービス・派遣 / コンサルティング・BPO / 広告・PR・マーケティング / 教育・研修・資格 / 医療・介護・福祉サービス / ホテル・旅行・レジャー / 環境・リサイクル・ビル管理 / エンタメ・スポーツ・その他サービス
2154,オープンアップグループ,サービス業,TOPIX Small 1,人材サービス・派遣 / コンサルティング・BPO / 広告・PR・マーケティング / 教育・研修・資格 / 医療・介護・福祉サービス / ホテル・旅行・レジャー / 環境・リサイクル・ビル管理 / エンタメ・スポーツ・その他サービス
7932,ニッピ,その他製品,-,住宅設備・家具・生活用品 / 玩具・スポーツ・文具・雑貨
9553,マイクロアド,サービス業,-,人材サービス・派遣 / コンサルティング・BPO / 広告・PR・マーケティング / 教育・研修・資格 / 医療・介護・福祉サービス / ホテル・旅行・レジャー / 環境・リサイクル・ビル管理 / エンタメ・スポーツ・その他サービス
1860,戸田建設,建設業,TOPIX Mid400,ゼネコン・総合建設 / 設備工事・専門工事
2702,日本マクドナルドホールディングス,小売業,-,百貨店・総合スーパー / 食品スーパー・コンビニ / ドラッグストア・HC / 衣料・家電・専門店 / 飲食チェーン・中食 / EC・通販・無店舗販売
7638,ＮＥＷ　ＡＲＴ　ＨＯＬＤＩＮＧＳ,小売業,-,百貨店・総合スーパー / 食品スーパー・コンビニ / ドラッグストア・HC / 衣料・家電・専門店 / 飲食チェーン・中食 / EC・通販・無店舗販売
6146,ディスコ,機械,TOPIX Large70,産業機械・工作機械 / 建設機械・農業機械 / 自動化・ロボティクス
9900,サガミホールディングス,小売業,TOPIX Small 1,百貨店・総合スーパー / 食品スーパー・コンビニ / ドラッグストア・HC / 衣料・家電・専門店 / 飲食チェーン・中食 / EC・通販・無店舗販売
4054,日本情報クリエイト,情報・通信業,-,通信キャリア・放送 / SI・受託開発(大手) / SI・受託開発(中堅) / ソフトウェア・SaaS / Webプラットフォーム・EC / ゲーム・デジタルコンテンツ / サイバーセキュリティ・クラウド / AI・データ・IoT / DX支援・ITコンサルティング / その他ITサービス
429A,テクセンドフォトマスク,その他製品,TOPIX Small 2,住宅設備・家具・生活用品 / 玩具・スポーツ・文具・雑貨
6776,天昇電気工業,化学,-,基礎化学・石油化学 / 機能性化学・先端材料 / 日用化学品・化粧品
135A,ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,情報・通信業,-,通信キャリア・放送 / SI・受託開発(大手) / SI・受託開発(中堅) / ソフトウェア・SaaS / Webプラットフォーム・EC / ゲーム・デジタルコンテンツ / サイバーセキュリティ・クラウド / AI・データ・IoT / DX支援・ITコンサルティング / その他ITサービス
